"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region","cat","cat2","Region2"
223230,"SUERC-35357",2920,30,"grain (charred)","Triticum dicoccum",23529,"Groom's Farm",-0.8399,51.1436,"SEEngland","wheat","Wheat + Barley","england_wales"
223231,"SUERC-3555",4780,40,"nutshell (charred)","Corylus avellana",19253,"Nether Hanginshaw",-3.5832,55.5831,"Scotland","hazelnut","Hazelnut","scotland_main"
223232,"SUERC-3562",6035,40,"nutshell (charred)","Corylus avellana",23543,"Weston Farm",-3.539,55.6993,"Scotland","hazelnut","Hazelnut","scotland_main"
74047,"SUERC-35957",4960,30,"grain (charred,single)","Triticum dicoccum/spelta",21621,"Rowden (Pasture), site A",-2.5507,50.6957,"SEEngland","wheat","Wheat + Barley","england_wales"
21260,"SUERC-35990",4425,30,"grain","Hordeum vulgare",21672,"Braes of Ha'breck, Wyre",-2.9843,59.1165,"Scotland","barley","Wheat + Barley","sea"
58390,"SUERC-36226",4120,30,"nutshell","Corylus avellana",13731,"Olympic Park, trench 118",-0.0053,51.5345,"SEEngland","hazelnut","Hazelnut","england_wales"
223233,"SUERC-3627",4840,40,"nutshell (charred)","Corylus avellana",6692,"Forest Road, Kintore",-2.3539,57.2363,"Scotland","hazelnut","Hazelnut","scotland_main"
31960,"SUERC-36556",2880,35,"grain","Triticum dicoccum",23556,"A3 Boundless Copse",-0.716,51.1208,"SEEngland","wheat","Wheat + Barley","england_wales"
71180,"SUERC-36566",2880,35,"grain (charred)","Triticum cf dicoccum",23557,"A3 Hindhead",-0.7088,51.138,"SEEngland","wheat","Wheat + Barley","england_wales"
57988,"SUERC-37347",6245,35,"nutshell","Corylus avellana",23401,"Hawkcombe Head, Porlock",-3.6581,51.2001,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
67203,"SUERC-37899",3750,35,"nutshell","Corylus avellana",23573,"Soutra Hill",-2.8618,55.8219,"Scotland","hazelnut","Hazelnut","scotland_main"
67590,"SUERC-37960",3780,35,"grain (charred)","Hordeum vulgare (hulled)",21672,"Braes of Ha'breck, Wyre",-2.9843,59.1165,"Scotland","barley","Wheat + Barley","sea"
71115,"SUERC-39056",4115,30,"nutshell (charred)","Corylus avellana",23601,"Thorpe, SM2035",-0.8496,53.0519,"SEEngland","hazelnut","Hazelnut","england_wales"
